id__bioguide,id__thomas,id__govtrack,social__twitter,social__facebook,social__youtube,social__youtube_id,social__twitter_id,social__instagram,social__instagram_id
H001047,01913,412282,JAHimes,CongressmanJimHimes,congressmanhimes,UCCeB6czh6nhCHxOMCk_V4yA,31611298,,
H001046,01937,412281,MartinHeinrich,MartinHeinrich,SenMartinHeinrich,UCBxh8IK5sMxY0Ln_0G2NYcg,1099199839,senatormartinheinrich,285288987
H001045,01933,412280,GreggHarper,GreggHarper,congressmanharper,UC9UIowW9bhstVTiMX8znppQ,23712174,,
H001042,01844,412200,MazieHirono,senatorhirono,CongresswomanHirono,UCcoKhxad156flzPYJ8JMFOA,92186819,maziehirono,304094084
H001041,01863,412218,SenDeanHeller,SenDeanHeller,SenDeanHeller,UCTS6f940sIirkO6ICyx4ksw,266133081,,
H001038,01794,400641,RepBrianHiggins,RepBrianHiggins,CongressmanHiggins,UCSGbv85HaaYYOrPGePtxwag,33576489,repbrianhiggins,
H001036,01749,400175,RepHensarling,RepHensarling,repjebhensarling,UCjZWXpz6wypzbL8nK0JNEvg,18566912,,
H000874,00566,400189,WhipHoyer,WhipHoyer,LeaderHoyer,UCvxgqX65cdhHNjJn64cgY9g,22012091,repstenyhoyer,51616645
H000338,01351,300052,SenOrrinHatch,senatororrinhatch,SenatorOrrinHatch,UCQUPyPV_SR435OsPiFNIWPQ,262756641,,
H000324,00511,400170,RepHastingsFL,95696782238,RepAlceeHastings,UCaXXiR3YjMuPIlIGRGNnm8A,2433737761,,
G000568,02070,412485,RepMGriffith,RepMorganGriffith,RepMorganGriffith,UCzxqD7EY_Rdvbc0spbaYkJA,234057152,hmorgangriffith,
G000566,02058,412473,TGowdySC,RepTreyGowdy,TGowdySC,UCVvxvugtuNZSygB4z4aVfsg,237348797,tgowdysc,
G000565,01992,412397,RepGosar,repgosar,repgosar,UC5orqw_9acsKWSRbrqTDXBw,240760644,,
G000563,02049,412463,RepBobGibbs,RepBobGibbs,RepBobGibbs,UC4J-kVbeE32Up-b_wTLEUmA,234822928,repbobgibbs,
G000562,01998,412406,SenCoryGardner,SenCoryGardner,,UC7Vi5vAFb7piu_BNwrYDBxQ,235217558,sencorygardner,1643152643
G000560,01979,412388,RepTomGraves,reptomgraves,CongressmanGraves,UCBxeA4MWCmfUox57bUTEH0g,190328374,reptomgraves,241591770
G000559,01973,412382,RepGaramendi,repgaramendi,garamendiCA10,UCRym1qsO72C39gX6pBu4icg,88806753,,
G000553,01803,400653,RepAlGreen,repalgreen,RepAlGreen,UCFtgMZm1YUXaZ8OtOj-GDjA,156333623,,
G000552,01801,400651,RepLouieGohmert,50375006903,GohmertTX01,UC0HMa6X3iMhMq96kkRLLTog,22055226,,
G000551,01708,400162,RepraulGrijalva,Rep.Grijalva,raulgrijalvaaz07,UC8JZLnXS21bhNbcvpoM8O7g,28602948,,
G000535,00478,400163,RepGutierrez,RepGutierrez,repluisgutierrez,UCLooufcInrRP1FQn_WY9yDA,36948268,,
G000410,00462,400160,RepGeneGreen,RepGeneGreen,RepGeneGreen,UCc6B7e8ontd_yKsPt_6w2oA,111635527,,
G000386,00457,300048,ChuckGrassley,grassley,senchuckgrassley,UCiCPRkcLMInpDeOqGkMTt4w,10615232,senatorchuckgrassley,
G000377,01487,400157,RepKayGranger,RepKayGranger,RepKayGranger,UCsRMtemAkyLh78MPES6gMVQ,161743731,,
G000359,00452,300047,GrahamBlog,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,14845376,,
G000289,00446,400154,RepGoodlatte,BobGoodlatte,RepBobGoodlatte,UCvjZ1XhXidxiyfm2ICEbNKg,37920978,bobgoodlatte,
F000461,02065,412480,RepBillFlores,RepBillFlores,RepBillFlores,UCA7MgQ_ccBlCqoxV56B6nmA,237312687,repbillflores,
F000460,02067,412482,Farenthold,BlakeFarenthold,BlakeFarenthold,UC-xQNCjaivVnqozyXtjcqww,17896154,Farenthold,
F000459,02061,412476,RepChuck,repchuck,repchuck,UCTtRrJkM-R-f2K0byCMvHgw,235190657,,
F000455,01895,412327,RepMarciaFudge,RepMarciaLFudge,marcialfudge,UClmYIIhIcL-WwtBAy1Dhokg,153486399,repmarciafudge,1395168201
F000450,01791,400643,VirginiaFoxx,RepVirginiaFoxx,repvirginiafoxx,UCggineJcxJn80TRXxdQbx6w,16256269,repvirginiafoxx,
F000449,01793,400640,JeffFortenberry,jefffortenberry,JeffFortenberry,UCbWUvw3gQhbFyJzt1Nh6cAA,18805303,,
F000444,01633,400134,JeffFlake,senatorjeffflake,flakeoffice,UCPSnRxko_G21KzwgXmOZaeQ,16056306,jeffflake,
F000062,01332,300043,SenFeinstein,senatorfeinstein,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,476256944,,
E000288,01857,412215,KeithEllison,Keith.Ellison,RepKeithEllison,UCR_QMi3wGy7xPUZxaIRi9QA,14135426,,
E000285,01542,300041,SenatorEnzi,mikeenzi,senatorenzi,UCipEXEDAKVPj_B0cQjaikEA,291756142,,
E000215,00355,400124,RepAnnaEshoo,RepAnnaEshoo,RepAnnaEshoo,UCjRvhco2d59GBgA78IIIaYQ,249348006,RepAnnaEshoo,
E000179,00344,400122,RepEliotEngel,RepEliotLEngel,engel2161,UCZ-ctBF-a6CYPJWDoBV_JyA,164007407,,
D000616,02062,412477,DesJarlaisTN04,ScottDesJarlaisTN04,ScottDesJarlaisTN04,UCvjuSLoi3hS0ECQvJLhwOkA,235312723,desjarlaistn04,260930821
D000615,02057,412472,RepJeffDuncan,RepJeffDuncan,congjeffduncan,UC1tuXL6ymImdpKYGEAH83QA,240393970,repjeffduncan,382897929
D000614,02072,412488,RepSeanDuffy,RepSeanDuffy,RepSeanDuffy,UChq-eV2HnV7Kr2zmj0yua7g,234022257,repseanduffy,367550700
D000612,01995,412403,RepJeffDenham,RepJeffDenham,repjeffdenham,UCm59PEM_tgTvhm5-wIfnrRg,248699486,repjeffdenham,380008060
D000610,01976,412385,RepTedDeutch,CongressmanTedDeutch,congressmanteddeutch,UC1JlTLRUDkzhM2htvI9QJTA,137794015,repteddeutch,
D000607,01850,412205,SenDonnelly,senatordonnelly,sendonnelly,UC7H5Lz0BUaTRlWXk9QsIwsg,216503958,sendonnelly,280911627
D000604,01799,400648,RepCharlieDent,CongressmanDent,CongressmanDent,UCoC_r0R2M_74UVrH4A44awQ,242376736,,
