id__bioguide,id__thomas,id__lis,id__govtrack,id__opensecrets,id__votesmart,id__icpsr,id__wikidata,id__google_entity_id,id__fec__-,id__wikipedia,id__house_history,id__icpsr_prez,name__first,name__middle,name__last,name__nickname,name__suffix,bio__birthday,bio__gender,bio__religion,terms__type,terms__start,terms__end,terms__party,terms__how
C000626,,,402755,,,1938,,,,,,,Schuyler,,Colfax,,,1823-03-23,M,,viceprez,1869-03-04,1873-03-04,Republican,election
W000585,,,411739,,,10225,,,,,,,Henry,,Wilson,,,1812-02-16,M,,viceprez,1873-03-04,1875-11-22,Republican,election
,,,412350,,,,,,,,,99886,Ulysses,Simpson,Grant,,,1822-04-27,M,,prez,1869-03-04,1873-03-04,Republican,election
,,,412350,,,,,,,,,99886,Ulysses,Simpson,Grant,,,1822-04-27,M,,prez,1873-03-04,1877-03-04,Republican,election
W000341,,,411503,,,9995,,,,,,,William,Almon,Wheeler,,,1819-06-30,M,,viceprez,1877-03-04,1881-03-04,Republican,election
H000393,,,405261,,,4232,,,,,,99887,Rutherford,Birchard,Hayes,,,1822-10-04,M,,prez,1877-03-04,1881-03-04,Republican,election
G000063,,,404436,,,3473,,,,,,99888,James,Abram,Garfield,,,1831-11-19,M,,prez,1881-03-04,1881-09-19,Republican,election
A000303,,,400945,,,,,,,,,99889,Chester,Alan,Arthur,,,1829-10-05,M,,viceprez,1881-03-04,1881-09-19,Republican,election
A000303,,,400945,,,,,,,,,99889,Chester,Alan,Arthur,,,1829-10-05,M,,prez,1881-09-19,1885-03-04,Republican,succession
H000493,,,405356,,,4319,,,,,,,Thomas,Andrews,Hendricks,,,1819-09-07,M,,viceprez,1885-03-04,1885-11-25,Democratic,election
M001018,,,407985,,,6742,,,,,,,Levi,Parsons,Morton,,,1824-05-16,M,,viceprez,1889-03-04,1893-03-04,Republican,election
H000263,,,405139,,,4124,,,,,,99891,Benjamin,,Harrison,,,1833-08-20,M,,prez,1889-03-04,1893-03-04,Republican,election
S000889,,,410350,,,8918,,,,,,,Adlai,Ewing,Stevenson,,,1835-10-23,M,,viceprez,1893-03-04,1897-03-04,Democratic,election
S000889,,,412354,,,,,,,,,99890,Grover,,Cleveland,,,1837-03-18,M,,prez,1885-03-04,1889-03-04,Democratic,election
S000889,,,412354,,,,,,,,,99890,Grover,,Cleveland,,,1837-03-18,M,,prez,1893-03-04,1897-03-04,Democratic,election
H000660,,,412589,,,,,,,,,,Garret,Augustus,Hobart,,,1844-06-03,M,,viceprez,1897-03-04,1899-11-21,Republican,election
M000522,,,407515,,,6312,,,,,,99892,William,,McKinley,,Jr.,1843-01-29,M,,prez,1897-03-04,1901/03/04,Republican,election
M000522,,,407515,,,6312,,,,,,99892,William,,McKinley,,Jr.,1843-01-29,M,,prez,1901/03/04,1901/09/14,Republican,election
F000003,,,403965,,,3046,,,,,,,Charles,Warren,Fairbanks,,,1852-05-11,M,,viceprez,1905/03/04,1909/03/04,Republican,election
R000429,,,409394,,,,,,,,,99893,Theodore,,Roosevelt,,,1858-10-27,M,,viceprez,1901/03/04,1901/09/14,Republican,election
